dish_id,total_calories,total_mass,ingredients,split
dish_1560974707,55.025124,60.0,onions;spinach (raw);cherry tomatoes;tortilla chips;corn;cheese;salt;chili;tomatoes;garlic;lime;sour cream;black beans,train
dish_1564686855,1030.160645,435.0,cucumbers;onions;brownies;chicken breast;cherry tomatoes;olives;salt;lettuce;cheese pizza;mixed greens;lime;pepper;olive oil;vinegar,train
dish_1565119669,55.965,229.0,kale;zucchini;chard;chayote squash,train
dish_1566417516,385.402527,425.0,wheat berry;eggplant;cherry tomatoes;mixed greens;celery root;salt;mustard;garlic;olive oil;vinegar;chard;fish;chive;shallots;roasted potatoes;parsley;lemon juice,train
dish_1558724031,358.710999,303.0,cherry tomatoes;cantaloupe;almonds;cauliflower,train
dish_1558637393,739.968018,128.0,almonds,train
dish_1563393217,49.230003,228.0,zucchini;broccoli;squash;onions;cucumbers,train
dish_1562789268,569.511536,350.0,pork;corn on the cob;brown rice;lemon juice;parsley;basil;shallots;cherry tomatoes;cheese pizza;pepper;salt;vinegar;olive oil;onions;garlic;broccoli,train
dish_1563998323,634.505066,574.0,roasted potatoes;shallots;olive oil;tatsoi;butter;jalapenos;wheat berry;mushroom;steak;oregano;chicken;pepper;salt;garlic;white wine;cilantro;vinegar;thyme;lemon juice;rosemary;arugula;basil;brown rice;cream;parsley;cauliflower,test
dish_1559700851,61.089886,54.0,spinach (raw);vinegar;tomatoes;salt;mustard;garlic;olive oil;mustard greens;cucumbers,train
dish_1561492204,488.636322,334.0,olive oil;blueberries;onions;tomatoes;salt;fried rice;chicken;pepper;mustard;garlic;bell peppers;millet;jalapenos;spinach (raw);vinegar;radishes,train
dish_1567613057,406.68631,749.0,olive oil;egg whites;watermelon;sweet potato;salsa,train
dish_1563996485,178.039185,201.0,salt;pepper;blueberries;chard;arugula;vinegar;mustard;olive oil;walnuts;roasted potatoes;cauliflower,test
dish_1564761488,327.986023,336.0,turkey bacon;egg whites;fried rice;honeydew melons,train
dish_1559239151,9.2,40.0,spinach (raw),test
dish_1559678330,169.694122,150.0,olive oil;spinach (raw);vinegar;tomatoes;garlic;cucumbers;salt;mustard;mustard greens,train
dish_1563998210,148.089218,91.0,garlic;olive oil;thyme;lemon juice;butter;cream;oregano;chicken;pepper;white wine;shallots;arugula;rosemary;mushroom;basil;wheat berry;salt,test
dish_1565033110,47.599998,147.0,broccoli;mixed greens,train
dish_1564428444,157.001038,277.0,olive oil;onions;salt;garlic;pears;mixed greens;mustard;cherry tomatoes;cauliflower;vinegar,train
dish_1558459115,271.540009,298.0,almonds;apple;white rice;cherry tomatoes;grapes,train
dish_1558723777,74.360001,143.0,apple,train
dish_1558721757,768.873047,133.0,almonds,train
dish_1564777960,331.007507,147.0,spinach (cooked);cheese pizza;shallots;onions;salt;olive oil;vinegar;bok choy;beef;millet,train
dish_1558376306,372.167999,108.0,sausage,test
dish_1558114086,74.360001,143.0,deprecated,test
dish_1558720236,887.823059,407.0,apple;carrot;cauliflower;almonds,test
dish_1563468269,129.01001,302.0,berries;watermelon;pineapple,train
dish_1558380557,699.320068,212.0,grapes;almonds;sausage,train
dish_1562873028,280.3414,320.0,jicama;parsley;nopales;olive oil;cherry tomatoes;chive;fish;pepper;salt;corn;arugula;sour cream;green beans;celery;carrot;couscous;garlic;lime,train
dish_1558637769,80.079994,154.0,apple,train
dish_1558724959,581.441956,426.0,brussels sprouts;carrot;almonds;apple,train
dish_1558115867,132.962997,23.0,almonds,train
dish_1561580370,126.795876,124.0,spinach (raw);wheat berry;cheese;cherry tomatoes;pasta;pesto;caesar salad;onions,train
dish_1562618000,685.993896,448.0,vinegar;olive oil;garlic;mustard greens;pepper;salt;radishes;lemon juice;thyme;brown rice;parsley;basil;arugula;chicken thighs;chickpeas;broccoli,test
dish_1561061658,226.000137,227.0,croutons;pepper;parmesan cheese;brussels sprouts;mustard greens;garlic;kale;parsley;salt;shallots;arugula;olive oil;lemon juice;caesar dressing;cranberries;bulgur;apple,train
dish_1559838402,222.759506,233.0,bacon;sweet potato;yam;berries,train
dish_1564686832,829.737549,392.0,onions;brownies;olives;chicken breast;salt;lime;cherry tomatoes;cheese pizza;lettuce;pepper;mixed greens;olive oil;vinegar;cucumbers,train
dish_1561753238,298.034393,333.0,olive oil;arugula;brown rice;pepper;squash;kale;salmon;parsley;garlic;lemon juice;salt;tatsoi;thyme;cucumbers,train
dish_1566938026,450.576294,219.0,spinach (cooked);wine;cheese pizza;salt;lemon juice;squash;eggplant;mushroom;chicken thighs;olive oil;quinoa;garlic;shallots,train
dish_1562617703,179.630005,110.0,frozen yogurt,test
dish_1559751801,451.635986,343.0,berries;yam;eggs;chicken apple sausage,train
dish_1564000490,532.706482,325.0,pepper;arugula;cream;caesar salad;butter;shallots;cheese pizza;salt;garlic;lemon juice;basil;mushroom;wheat berry;oregano;thyme;olive oil;rosemary;white wine;chicken,train
dish_1564000459,485.186493,217.0,butter;wheat berry;thyme;olive oil;rosemary;lemon juice;cheese pizza;shallots;garlic;salt;white wine;pepper;cream;mushroom;arugula;oregano;basil;chicken,train
dish_1558457530,16.0,64.0,cauliflower,train
dish_1558723449,74.360001,143.0,apple,train
dish_1567628157,373.190979,355.0,green onions;fish;apple;arugula;onions;chard;country rice;cranberries;lemon juice;garlic;salt;parsley;kale;olive oil;mustard greens;shallots;bulgur,train
dish_1566502505,454.517365,275.0,sun dried tomatoes;bok choy;pork;corn on the cob;cucumbers;onions;salt;soy sauce;garlic;sugar;pepper;white rice;vinegar;spinach (raw);mustard;olive oil,test
dish_1565728415,194.42775,80.0,cheese pizza;shallots;spinach (cooked);onions;olive oil;vinegar;millet;salt;bok choy;beef,train
dish_1565383026,171.559998,287.0,spinach (raw);cucumbers;olives,train
dish_1558642089,39.360001,96.0,carrot,train
dish_1566849923,127.970001,240.0,olives;cherry tomatoes;carrot,test
dish_1562959732,374.663696,232.0,salt;soy sauce;bok choy;pork;parsnips;pepper;garlic;sugar;white rice,train
dish_1560368972,196.840424,107.0,pork;cherry tomatoes;garlic;shallots;white rice;salt;onions;basil;olive oil;brown rice;vinegar;pepper;broccoli;lemon juice;parsley,train
dish_1566502537,517.644226,315.0,corn on the cob;vinegar;parsley;sun dried tomatoes;rosemary;carrot;salt;garlic;mustard;cucumbers;lemon juice;olive oil;chive;pork;chicken;spinach (raw);pepper;bok choy;white rice;brown rice;soy sauce;chard;sugar;onions;basil,test
dish_1561576590,29.231468,101.0,squash;olive oil;salt,train
dish_1558723866,14.75,59.0,cauliflower,train
dish_1564778030,504.417786,283.0,millet;spinach (cooked);vinegar;onions;cheese pizza;broccoli;bok choy;mixed greens;shallots;blue cheese;beef;olive oil;mustard;garlic;walnuts;lettuce;salt,train
dish_1561392512,42.75,75.0,berries,train
dish_1564675118,177.188782,238.0,olive oil;watermelon;sweet potato,train
dish_1566838407,358.947601,558.0,pineapple;scrambled eggs;sweet potato;berries;olive oil;watermelon,test
dish_1559319860,70.330002,13.0,bacon,train
dish_1559242568,116.116005,203.0,pears,train
dish_1563824339,85.339996,175.0,onions;cherry tomatoes;olives;bell peppers,train
dish_1567021831,252.435623,228.0,cherry tomatoes;pepper;chive;wheat berry;kale;mustard;olive oil;garlic;walnuts;lemon juice;salt;fish;chard;blueberries;vinegar;arugula;parsley;shallots,train
dish_1559846099,206.938995,114.0,mandarin oranges;almonds;broccoli,train
dish_1562873155,41.33675,79.0,green beans;olive oil,train
dish_1562094621,10.54,34.0,green beans,train
dish_1563900150,202.2966,154.0,sweet potato;olive oil;scrambled eggs,train
dish_1562086702,178.529999,33.0,bacon,train
dish_1564429894,498.769836,566.0,quinoa;salt;squash;mayonnaise;arugula;parsley;carrot;couscous;pepper;wheat berry;pork;jalapenos;cabbage;shallots;thyme;olive oil;garlic;lemon juice;cauliflower,train
dish_1561662458,124.815498,119.0,lettuce;lime;salt;mixed greens;onions;cucumbers;vinegar;corn on the cob;olive oil;pepper;cherry tomatoes,train
dish_1558720364,73.839996,142.0,apple,train
dish_1559845290,66.220001,86.0,potatoes,train
dish_1559844506,98.959999,180.0,mandarin oranges;grapes;strawberries,train
dish_1560360055,362.734009,180.0,sausage;scrambled eggs,train
dish_1567106825,220.200867,104.0,bok choy;millet;blue cheese;onions;mustard;olive oil;shallots;spinach (cooked);mixed greens;salt;beef;vinegar;garlic;lettuce;walnuts,train
dish_1562099053,98.382996,37.0,cheese pizza,test
dish_1560453380,411.388397,480.0,zucchini;brown rice;arugula;green beans;wheat berry;rosemary;tomatoes;chicken;pepper;kimchi;spinach (raw);squash;salmon;thyme;olive oil;basil;lemon juice;parsley;salt;garlic,train
dish_1566849327,551.702026,362.0,parmesan cheese;mixed greens;avocado;olives;chicken,train
dish_1560527191,663.989319,318.0,mustard greens;cucumbers;bacon;berries;tomatoes;garlic;potatoes;salt;sausage;mustard;vinegar;spinach (raw);olive oil,train
dish_1563898786,420.928467,344.0,mustard;olive oil;bell peppers;broccoli;radishes;salt;garlic;scrambled eggs;vinegar;cucumbers,train
dish_1560973958,145.313232,121.0,wheat berry;olive oil;mustard;pecans;lime;salt;raisins;pepper;arugula;orange,train
dish_1558546663,330.734009,197.0,spinach (raw);almonds;apple,test
dish_1563206582,229.248688,320.0,yam;egg whites;olive oil;sweet potato,train
dish_1565207815,40.848213,80.0,brussels sprouts;salt;pepper;olive oil,train
dish_1568305257,837.147766,420.0,turkey bacon;salt;bell peppers;mustard;olive oil;cucumbers;vinegar;scrambled eggs;garlic;radishes,test
dish_1568314823,144.0,90.0,avocado,train
dish_1565119464,504.065033,223.0,millet;apple;cheese pizza;salt;olive oil;onions;cranberries;mustard;vinegar;spinach (raw);spinach (cooked);beef;shallots;bok choy,train
dish_1565725047,77.659996,110.0,carrot;olives,train
dish_1559841163,357.043518,335.0,blackberries;scrambled eggs;yam;sweet potato;chicken apple sausage;broccoli,train
dish_1563568338,631.706665,371.0,salt;garlic;olive oil;kale;onions;wheat berry;mushroom;corn on the cob;ground turkey;chive;cheese pizza;carrot;thyme;celery;cream;white rice;eggs,train
dish_1563468299,210.350006,385.0,cottage cheese;pineapple;watermelon;berries,train
dish_1558027001,20.400002,68.0,deprecated,train
dish_1565033265,1324.084961,625.0,olives;mixed greens;broccoli;chicken;vinaigrette;olive oil,train
dish_1563475921,244.343323,348.0,shallots;garlic;lemon juice;onions;spinach (raw);jalapenos;pineapple;cauliflower;honeydew melons;chili;salt;olive oil;lime;ginger;brown rice;cilantro;salmon,train
dish_1561665024,100.570984,121.0,lemon juice;onions;olive oil;mixed greens;parsley;salt;apple;millet;green beans;vinegar,train
dish_1563813308,224.982895,76.0,salt;pepper;brussels sprouts;olive oil;bacon,train
dish_1561062555,47.093922,32.0,apple;shallots;salt;bulgur;olive oil;cranberries;lemon juice;mustard greens;parsley;arugula;garlic,train
dish_1558723414,51.988998,49.0,corn on the cob,train
dish_1562691674,376.976868,435.0,sweet potato;olive oil;broccoli;egg whites;yam;greek yogurt;chia seeds;chicken apple sausage;milk,train
dish_1566591080,909.629578,549.0,pepper;salmon;chicken;olives;arugula;brown rice;chicken salad;olive oil;thyme;carrot;salt,train
dish_1564082462,905.354492,609.0,soy sauce;pesto;cherry tomatoes;brown rice;chard;spinach (raw);pork;cheese;caesar salad;parsley;white rice;sugar;garlic;carrot;salt;pepper;bok choy;pasta;olive oil;basil;rosemary;lemon juice;onions;chive;chicken,train
dish_1562602860,165.182281,258.0,strawberries;milk;chia seeds;greek yogurt;watermelon,train
dish_1561739954,276.119995,225.0,sweet potato;scrambled eggs,train
dish_1558638983,59.416,56.0,corn on the cob,train
dish_1558631825,118.832001,112.0,corn on the cob,train
dish_1564689108,203.66246,159.0,chickpeas;salt;garlic;blueberries;pepper;pears;arugula;mustard;olive oil;parsley;almonds;vinegar;spinach (raw);lemon juice;carrot,test
dish_1563216440,403.786346,352.0,wheat berry;olive oil;spinach (raw);cherry tomatoes;chicken breast;white rice;parmesan cheese;garlic;salt;broccoli;thyme,train
dish_1559240908,60.16,128.0,orange,train
dish_1563395480,370.521423,329.0,corn;cheese;garlic;chili;black beans;spinach (raw);squash;bell peppers;onions;olive oil;sour cream;lemon juice;salt;hominy;cherry tomatoes;pepper;tortilla chips;jalapenos;parsley;cabbage;chicken thighs;lime;zucchini;cheese pizza;broccoli;carrot;tomatoes,train
dish_1559235815,352.39502,268.0,cream cheese;bagels;strawberries;eggs,train
dish_1565640272,377.820007,405.0,bell peppers;pepperoni pizza;cherry tomatoes,train
dish_1565898158,240.425751,194.0,cilantro;ginger;spinach (raw);jalapenos;lemon juice;lime;salt;onions;shallots;garlic;salmon;green beans;brown rice;olive oil;chili,test
dish_1565022062,234.606583,366.0,olive oil;egg whites;berries;sweet potato,train
dish_1558719994,768.873047,133.0,almonds,test
dish_1562960520,422.399261,303.0,pork;pepper;white rice;garlic;caesar salad;roasted potatoes;sugar;salt;soy sauce;bok choy,train
dish_1560441270,24.540001,46.0,bok choy;potatoes,train
dish_1561663855,179.138412,139.0,parsley;lemon juice;chive;garlic;millet;apple;brown rice;corn on the cob;vinegar;onions;olive oil;rosemary;basil;salt;chicken;mixed greens;carrot;chard,train
dish_1563389199,390.254456,284.0,broccoli;garlic;pepper;arugula;vinegar;chard;blueberries;bulgur;olive oil;pecans;mustard;tofu;salt;carrot,train
dish_1566488928,103.048294,147.0,cantaloupe;sweet potato;olive oil,train
dish_1558031302,56.98,74.0,potatoes,test
dish_1558723926,19.26,107.0,cherry tomatoes,train
dish_1563392128,169.934235,162.0,garlic;cilantro;lemon juice;onions;olive oil;salt;arugula;quinoa;fish;tomatillo;pepper;jalapenos,train
dish_1563910171,571.183777,423.0,ginger;chard;salmon;cilantro;shallots;lime;lemon juice;onions;olive oil;vinegar;green beans;brown rice;spinach (raw);jalapenos;cherry tomatoes;garlic;chili;figs;salt;cucumbers;mustard,train
dish_1560368464,349.449951,275.0,olive oil;brown rice;vinegar;cherry tomatoes;honeydew melons;shallots;parsley;basil;lemon juice;onions;pork;pepper;garlic;broccoli;salt,test
dish_1560368990,211.92131,119.0,shallots;salt;pumpkin seeds;parsley;olive oil;brown rice;vinegar;pepper;arugula;white rice;garlic;carrot;broccoli;lettuce;onions;basil;lemon juice;mustard;pork;cherry tomatoes;mixed greens,train
dish_1562958563,130.839996,68.0,olives;chicken salad,train
dish_1561579617,130.172348,304.0,salt;eggplant;olive oil;cauliflower;roasted potatoes,train
dish_1566333167,344.544495,140.0,vinegar;beef;bok choy;spinach (cooked);shallots;millet;salt;cheese pizza;olive oil;onions,train
dish_1565033139,193.649994,274.0,mixed greens;broccoli;olives,train
dish_1563551194,471.643555,400.0,olive oil;sweet potato;egg whites;bagels;greek yogurt;chia seeds;milk;cream cheese,test
dish_1563464480,229.490005,213.0,bacon;watermelon;roasted potatoes;berries,train
dish_1567020054,122.001411,145.0,shallots;garlic;parsley;salt;kale;brussels sprouts;lemon juice;olive oil;wheat berry;chive;chard;pepper;fish;cherry tomatoes,train
dish_1568649387,163.858185,192.0,olive oil;sweet potato;broccoli;berries;yam,train
dish_1565370004,570.884766,370.0,bacon;olive oil;scrambled eggs;green beans,train
dish_1566499633,161.386429,139.0,onions;olive oil;vinegar;garlic;salt;sun dried tomatoes;olives;cucumbers;spinach (raw);mustard,train
dish_1559849412,352.641022,61.0,almonds,test
dish_1558719336,24.25,97.0,cauliflower,train
dish_1562602657,610.365173,236.0,pepper;salt;hash browns;brussels sprouts;sausage;olive oil,train
dish_1558116201,313.585999,91.0,sausage,train
dish_1559668314,551.546021,300.0,scrambled eggs;garden salad;hash browns,train
dish_1557861697,13.144,53.0,eggplant,train
dish_1558721484,11.160001,62.0,cherry tomatoes,train
dish_1565379251,32.936092,67.0,salt;pepper;olive oil;carrot,train
dish_1563306392,477.465118,288.0,chicken;spinach (raw);wheat berry;thyme;olive oil;lemon juice;parsley;salt;garlic;shallots,train
dish_1559843335,25.410002,77.0,strawberries,train
dish_1558549214,239.190002,361.0,white rice;potatoes;spinach (raw);cherry tomatoes;grapes,train
dish_1562775488,91.239998,145.0,egg whites;sweet potato,train
dish_1562787956,26.84,61.0,caesar salad,train
dish_1562775212,92.480003,136.0,oatmeal,train
dish_1560801773,13.5,54.0,cauliflower,test
dish_1559238435,115.544006,202.0,pears,train
dish_1562008813,214.593262,225.0,pears;quinoa;shallots;olive oil;lemon juice;mustard;vinegar;arugula;garlic;mixed greens;goat cheese;thyme;pecans;parsley;chard;blueberries;olives;cauliflower;salt,train
dish_1568061202,256.551605,334.0,salt;pepper;brussels sprouts;olive oil;squash;pineapple;cheese pizza,train
dish_1560445069,94.527,243.0,grapefruit juice,train
dish_1566502573,821.510193,487.0,chive;bok choy;chicken;white rice;pork;arugula;spinach (raw);brown rice;chard;mustard;olive oil;garlic;cucumbers;sugar;rosemary;pepper;sun dried tomatoes;lemon juice;mustard greens;parsley;vinegar;corn on the cob;basil;onions;carrot;soy sauce;salt;chickpeas,test
dish_1563900172,236.636597,255.0,scrambled eggs;cantaloupe;olive oil;sweet potato,train
dish_1562785132,211.542679,192.0,fish;country rice;onions;olive oil;garlic;salt;green onions,train
dish_1565383097,479.248993,430.0,spinach (raw);cucumbers;olives;chicken;parmesan cheese,train
dish_1559233102,183.520004,124.0,scrambled eggs,train
dish_1560357427,93.749001,241.0,grapefruit juice,train
dish_1568401261,530.393372,443.0,salt;squash;carrot;avocado;tuna salad;olive oil,test
dish_1558031628,31.280001,92.0,cantaloupe,train
dish_1558029148,38.880001,108.0,honeydew melons,train
dish_1558461431,1.15,5.0,spinach (raw),test
dish_1562790824,437.071686,368.0,salt;bell peppers;garlic;mustard;cucumbers;olive oil;vinegar;country rice;onions;green onions;fish;radishes,test
dish_1558718610,113.527,107.0,corn on the cob,test
dish_1562959129,412.873596,293.0,fish;garlic;salt;pizza;onions;pepper;quinoa;artichokes;lemon juice;olive oil;arugula;jalapenos;tomatillo;parsnips;cilantro;roasted potatoes,train
dish_1560975517,42.389999,99.0,broccoli;caesar salad,test
dish_1558641075,12.42,69.0,cherry tomatoes,train
dish_1560455158,69.12085,55.0,olive oil;arugula;vinegar;carrot;mixed greens;mustard;lettuce;pumpkin seeds;salt,train
dish_1565972715,657.545837,510.0,cucumbers;vinegar;green beans;scrambled eggs;pepper;lettuce;chicken apple sausage;cherry tomatoes;lime;mixed greens;salt;olive oil;onions,train
dish_1558639787,24.75,99.0,cauliflower,test
dish_1560203424,451.753998,138.0,pepperoni pizza;brownies,test
dish_1558724912,30.75,75.0,carrot,train
dish_1563913675,282.693146,228.0,spinach (raw);vinegar;chard;cherry tomatoes;cheese pizza;figs;salt;caesar salad;cucumbers;olive oil;mustard,train
dish_1567542876,495.807739,260.0,white rice;soy sauce;onions;orange juice;kale;lemon juice;chili;cilantro;green onions;cheese pizza;broccoli;beef;pineapple;chicken thighs;vinegar;olive oil;garlic;salt,train
dish_1561753075,945.670715,668.0,garlic;salmon;chicken thighs;onions;olive oil;chili;caesar salad;cilantro;cheese;pepper;brown rice;arugula;squash;thyme;tortilla;salt;tomatoes,train
dish_1559244305,113.066399,64.0,arugula;pepper;vinegar;chickpeas;salt;parsley;olive oil;mustard greens,train
dish_1561577573,755.432922,346.0,onions;bok choy;millet;beef;salt;spinach (cooked);shallots;olive oil;pizza;vinegar,train
dish_1563550614,132.824387,205.0,sweet potato;olive oil;egg whites,train
dish_1565204891,302.886444,314.0,olive oil;onions;brussels sprouts;chicken thighs;lemon juice;salt;garlic;pineapple;white rice;cilantro;pepper;vinegar;kale,train
dish_1558115011,115.620003,20.0,almonds,train
dish_1562776497,291.832458,292.0,pepper;olive oil;brussels sprouts;sweet potato;scrambled eggs;salt,test
dish_1559675234,36.970001,120.0,carrot;bell peppers;cherry tomatoes;brussels sprouts,train
dish_1565638323,467.824677,274.0,salt;garlic;parsley;onions;zucchini;rosemary;olive oil;arugula;pork;brown rice;white rice,train
dish_1561405836,82.429001,31.0,cheese pizza,train
dish_1565898659,576.704529,537.0,cherry tomatoes;tuna;olives;salmon;spinach (raw);onions;chili;cilantro;lime;salt;ginger;brown rice;jalapenos;lemon juice;olive oil;carrot;shallots;garlic,train
dish_1562169818,346.819672,275.0,olive oil;vinaigrette;pepper;scrambled eggs;granola;mixed greens;salt;raspberries;blackberries;brussels sprouts,train
dish_1559934679,160.845459,146.0,quinoa;wine;eggplant;mushroom;chicken thighs;squash;salt;lemon juice;shallots;caesar salad;spinach (cooked);garlic;olive oil,train
dish_1562698276,434.58316,307.0,spinach (cooked);shallots;salt;onions;broccoli;olive oil;vinegar;white rice;beef;millet;bok choy,train
dish_1558718051,24.25,97.0,cauliflower,train
dish_1560368764,207.098907,270.0,olive oil;mustard;pumpkin seeds;carrot;mixed greens;lettuce;salt;asparagus;tofu;arugula;eggplant;vinegar,train
dish_1563563317,345.84198,252.0,olives;grilled chicken;cherry tomatoes;carrot,train
dish_1565895966,214.544357,287.0,bok choy;salt;onions;kale;olive oil;vinegar;shallots;green beans;chard;beef;spinach (cooked);millet,train
dish_1566933226,245.449509,171.0,couscous;garlic;parsley;basil;lemon juice;olive oil;thyme;salt;chicken thighs;brown rice;radishes;arugula;vinegar,train
dish_1558458737,41.599998,32.0,white rice,train
dish_1561392593,354.044922,325.0,vinegar;olive oil;broccoli;berries;bell peppers;radishes;salt;garlic;scrambled eggs;mustard;cucumbers,train
dish_1566416421,313.741882,367.0,wheat berry;lemon juice;green beans;chard;fish;cherry tomatoes;garlic;roasted potatoes;shallots;chive;salt;parsley;olive oil;eggplant,train
dish_1562009120,95.610138,146.0,brussels sprouts;tofu;salt;pepper;olive oil,train
dish_1560444869,14.040001,39.0,honeydew melons,test
dish_1562872365,9.879999,76.0,bok choy,train
dish_1564773903,316.827545,336.0,cherry tomatoes;lentils;salmon;arugula;pineapple;parsley;kale;olive oil;shallots;pepper;pickles;salt;mayonnaise;lemon juice;broccoli;garlic;chive,test
dish_1563910137,131.283218,141.0,vinegar;chard;spinach (raw);cherry tomatoes;green beans;olive oil;salt;cucumbers;figs;mustard,train
dish_1561661347,50.669998,132.0,green beans;caesar salad,test
dish_1558721726,74.360001,143.0,apple,train
dish_1566931586,379.380005,389.0,olives;mixed greens;chicken;broccoli,train
dish_1563908923,49.279999,112.0,caesar salad,train
dish_1563552016,493.589081,174.0,syrup;waffles,train
dish_1562784307,158.518127,157.0,salt;pizza;olive oil;eggplant;corn on the cob,train
dish_1564761388,54.599998,105.0,egg whites,train
dish_1561576295,249.067139,232.0,onions;cucumbers;lettuce;bell peppers;roasted potatoes;olives;vinaigrette;cherry tomatoes;feta cheese,train
dish_1562876618,114.336998,43.0,cheese pizza,train
dish_1558722247,604.616028,343.0,almonds;cauliflower;apple,test
dish_1565640427,195.761993,42.0,brownies,train
dish_1559841808,73.110001,96.0,grapes;mandarin oranges;cereal,train
dish_1560788349,78.925995,134.0,yogurt,train
dish_1566847431,101.240509,90.0,quinoa;arugula;olive oil;thyme;lemon juice;parsley;salt;shallots;garlic,train
dish_1565726812,36.209755,65.0,broccoli;olive oil,train
dish_1561061687,508.347748,408.0,shallots;garlic;croutons;jalapenos;onions;cranberries;mustard greens;kale;lemon juice;olive oil;salt;parsley;salmon;ginger;spinach (raw);pepper;parmesan cheese;brown rice;arugula;cilantro;lime;caesar dressing;brussels sprouts;bulgur;chili;apple,train
dish_1563996279,98.490021,278.0,salt;carrot;cauliflower;olive oil;pepper,train
dish_1558115448,64.860001,94.0,grapes,train
dish_1559843030,25.410002,77.0,strawberries,train
dish_1564073860,492.309998,91.0,bacon,train
dish_1561739973,295.369995,280.0,broccoli;scrambled eggs;sweet potato,train
dish_1565811091,504.400024,371.0,broccoli;spinach (raw);carrot;chicken;goat cheese,test
dish_1559240441,19.470001,59.0,strawberries,train
dish_1565984434,319.892303,430.0,quinoa;ground turkey;onions;celery;kale;olive oil;thyme;chive;pepper;white rice;cauliflower;cream;mushroom;eggs;carrot;salt;garlic,train
dish_1563811686,319.428375,331.0,scrambled eggs;strawberries;olive oil;salt;pepper;sweet potato;brussels sprouts,train
